question,answer
"Trái đất quay quanh mặt trời mất bao lâu?","Khoảng 365 ngày."
"Thủ đô của Việt Nam là gì?","Hà Nội."
"Python là ngôn ngữ lập trình gì?","Python là một ngôn ngữ lập trình thông dịch, hướng đối tượng, và dễ học."
"2 + 2 bằng bao nhiêu?","2 + 2 = 4."
"Ai là người phát minh ra bóng đèn?","Thomas Edison."
"Bạn Tên Gì?","Tôi Là VAi, là 1 mô hình mini thuộc VyVe Studio."
"VyVe là gì?","VyVe Là 1 nhóm phát triển thuộc MT Studio."
"VTriP Official Là Gì?","Là Owner MT Studio Nhưng cái tên đó đã được dùng vào 1 dự án."
"Hành tinh lớn nhất trong hệ mặt trời là gì?","Sao Mộc."
"1 năm có bao nhiêu ngày?","365 ngày, hoặc 366 ngày trong năm nhuận."
"Nước nào có dân số đông nhất thế giới?","Trung Quốc."
"Ai là tổng thống đầu tiên của Hoa Kỳ?","George Washington."
"Công thức tính diện tích hình tròn là gì?","S = πr²."
"Ngôn ngữ chính thức của Brazil là gì?","Tiếng Bồ Đào Nha."
"Núi cao nhất thế giới là gì?","Núi Everest."
"1 kilômét bằng bao nhiêu mét?","1000 mét."
"Ai viết cuốn sách 'Đắc Nhân Tâm'?","Dale Carnegie."
"Mặt trời mọc ở hướng nào?","Hướng Đông."
"H2O là công thức hóa học của gì?","Nước."
"Thủ đô của Nhật Bản là gì?","Tokyo."
"Ai là nhà soạn nhạc của bản 'Symphony No. 9'?","Ludwig van Beethoven."
"HTML là viết tắt của gì?","HyperText Markup Language."
"Con sông dài nhất thế giới là gì?","Sông Nile."
"1 ngày có bao nhiêu giờ?","24 giờ."
"Loài động vật lớn nhất trên Trái Đất là gì?","Cá voi xanh."
"Ai là người đầu tiên đặt chân lên Mặt Trăng?","Neil Armstrong."
"Đơn vị đo độ dài trong hệ mét là gì?","Mét."
"Thủ đô của Pháp là gì?","Paris."
"Ngôn ngữ lập trình đầu tiên là gì?","Fortran."
"1+1 bằng bao nhiêu?","2."
"Ai là tác giả của 'Harry Potter'?","J.K. Rowling."
"Châu lục lớn nhất thế giới là gì?","Châu Á."
"Đơn vị tiền tệ của Việt Nam là gì?","Đồng."
"Công thức tính chu vi hình chữ nhật là gì?","P = 2(a + b)."
"Ai phát minh ra điện thoại?","Alexander Graham Bell."
"Thủ đô của Trung Quốc là gì?","Bắc Kinh."
"Loài chim nhanh nhất thế giới là gì?","Chim ưng peregrine."
"1 tuần có bao nhiêu ngày?","7 ngày."
"Ai là nhà vật lý phát triển thuyết tương đối?","Albert Einstein."
"Đại dương lớn nhất thế giới là gì?","Thái Bình Dương."
"Ngôn ngữ chính thức của Việt Nam là gì?","Tiếng Việt."
"5 x 6 bằng bao nhiêu?","30."
"Ai là người sáng lập Microsoft?","Bill Gates."
"Thủ đô của Úc là gì?","Canberra."
"Loài động vật có vú sống lâu nhất là gì?","Cá voi đầu cong."
"Công thức hóa học của muối ăn là gì?","NaCl."
"Ai là tác giả của 'Tội ác và trừng phạt'?","Fyodor Dostoevsky."
"1 giờ có bao nhiêu phút?","60 phút."
"Núi Phú Sĩ thuộc nước nào?","Nhật Bản."
"Ai phát minh ra máy tính đầu tiên?","Charles Babbage."
"Thủ đô của Ấn Độ là gì?","New Delhi."
"Đơn vị đo khối lượng trong hệ mét là gì?","Kilogram."
"10 chia 2 bằng bao nhiêu?","5."
"Ai là người sáng lập Apple?","Steve Jobs."
"Châu lục nhỏ nhất thế giới là gì?","Châu Đại Dương."
"Ngôn ngữ lập trình C++ được phát triển bởi ai?","Bjarne Stroustrup."
"Sông nào dài nhất Việt Nam?","Sông Cửu Long."
"1 phút có bao nhiêu giây?","60 giây."
"Ai là tác giả của 'Chiến tranh và hòa bình'?","Leo Tolstoy."
"Thủ đô của Nga là gì?","Moskva."
"Loài cây cao nhất thế giới là gì?","Cây redwood."
"Công thức tính diện tích tam giác là gì?","S = (a x h)/2."
"Ai là người phát minh ra internet?","Tim Berners-Lee."
"Đơn vị tiền tệ của Nhật Bản là gì?","Yên."
"7 x 8 bằng bao nhiêu?","56."
"Thủ đô của Hàn Quốc là gì?","Seoul."
"Loài động vật nhanh nhất trên cạn là gì?","Báo săn."
"Ai là tác giả của 'Nhà giả kim'?","Paulo Coelho."
"Đại dương nhỏ nhất thế giới là gì?","Bắc Băng Dương."
"1 mét vuông bằng bao nhiêu cm vuông?","10.000 cm²."
"Ai là người sáng lập Amazon?","Jeff Bezos."
"Thủ đô của Canada là gì?","Ottawa."
"Ngôn ngữ chính thức của Argentina là gì?","Tiếng Tây Ban Nha."
"9 + 7 bằng bao nhiêu?","16."
"Ai là tác giả của 'Đồi gió hú'?","Emily Brontë."
"Núi cao nhất Việt Nam là gì?","Núi Fansipan."
"Công thức hóa học của khí cacbonic là gì?","CO₂."
"1 thập kỷ có bao nhiêu năm?","10 năm."
"Ai là người sáng lập Facebook?","Mark Zuckerberg."
"Thủ đô của Ý là gì?","Rome."
"Loài hoa biểu tượng của Việt Nam là gì?","Hoa sen."
"12 - 5 bằng bao nhiêu?","7."
"Ai là tác giả của 'Bố già'?","Mario Puzo."
"Sông nào chảy qua Hà Nội?","Sông Hồng."
"Đơn vị đo nhiệt độ trong hệ mét là gì?","Độ Celsius."
"3 x 9 bằng bao nhiêu?","27."
"Ai là người phát minh ra xe hơi?","Karl Benz."
"Thủ đô của Tây Ban Nha là gì?","Madrid."
"Loài động vật có túi lớn nhất là gì?","Kangaroo."
"Công thức tính thể tích hình lập phương là gì?","V = a³."
"15 + 6 bằng bao nhiêu?","21."
"Ai là tác giả của 'Ông già và biển cả'?","Ernest Hemingway."
"Thủ đô của Ai Cập là gì?","Cairo."
"Ngôn ngữ lập trình Java được phát triển bởi ai?","James Gosling."
"1 thế kỷ có bao nhiêu năm?","100 năm."
"Ai là người sáng lập Tesla?","Elon Musk."
"Loài cây lâu đời nhất thế giới là gì?","Cây thông Bristlecone."
"20 chia 4 bằng bao nhiêu?","5."
"Thủ đô của Thụy Điển là gì?","Stockholm."
"Công thức hóa học của oxy là gì?","O₂."
"Nước nào có diện tích lớn nhất thế giới?","Nga."
"Ai là tác giả của 'Les Misérables'?","Victor Hugo."
"Thủ đô của Mexico là gì?","Mexico City."
"Loài động vật nặng nhất trên cạn là gì?","Tê giác trắng."
"1 lít bằng bao nhiêu mililit?","1000 mililit."
"Ai phát minh ra máy bay?","Anh em nhà Wright."
"Thủ đô của Thái Lan là gì?","Bangkok."
"Ngôn ngữ chính thức của Thụy Sĩ là gì?","Tiếng Đức, Pháp, Ý, Romansh."
"4 x 7 bằng bao nhiêu?","28."
"Ai là tác giả của 'Kiêu hãnh và định kiến'?","Jane Austen."
"Sông Amazon thuộc châu lục nào?","Nam Mỹ."
"Đơn vị đo năng lượng trong hệ SI là gì?","Joule."
"18 - 9 bằng bao nhiêu?","9."
"Ai là người sáng lập Google?","Larry Page và Sergey Brin."
"Thủ đô của Nam Phi là gì?","Pretoria."
"Loài cá lớn nhất thế giới là gì?","Cá mập voi."
"Công thức tính chu vi hình tròn là gì?","C = 2πr."
"1 tấn bằng bao nhiêu kilogam?","1000 kilogam."
"Ai là tác giả của 'Don Quixote'?","Miguel de Cervantes."
"Thủ đô của Indonesia là gì?","Jakarta."
"Ngôn ngữ lập trình R được dùng chủ yếu cho gì?","Thống kê và phân tích dữ liệu."
"6 x 5 bằng bao nhiêu?","30."
"Ai phát minh ra vắc-xin đầu tiên?","Edward Jenner."
"Thủ đô của Na Uy là gì?","Oslo."
"Loài động vật có vú nhỏ nhất là gì?","Chuột chù lùn."
"Công thức hóa học của đường glucôzơ là gì?","C₆H₁₂O₆."
"25 + 15 bằng bao nhiêu?","40."
"Ai là tác giả của '1984'?","George Orwell."
"Thủ đô của Malaysia là gì?","Kuala Lumpur."
"Sông nào dài nhất châu Âu?","Sông Volga."
"Đơn vị đo áp suất trong hệ SI là gì?","Pascal."
"30 chia 6 bằng bao nhiêu?","5."
"Ai là người sáng lập Netflix?","Reed Hastings."
"Thủ đô của Ba Lan là gì?","Warsaw."
"Loài chim không bay lớn nhất là gì?","Đà điểu."
"1 hải lý bằng bao nhiêu kilômét?","1,852 kilômét."
"Ai là tác giả của 'Trăm năm cô đơn'?","Gabriel García Márquez."
"Thủ đô của Singapore là gì?","Singapore."
"Ngôn ngữ chính thức của Phần Lan là gì?","Tiếng Phần Lan và Thụy Điển."
"8 x 9 bằng bao nhiêu?","72."
"Ai phát minh ra động cơ hơi nước?","James Watt."
"Thủ đô của Chile là gì?","Santiago."
"Loài động vật sống sâu nhất dưới đại dương là gì?","Cá nhám mang xếp."
"Công thức tính thể tích hình trụ là gì?","V = πr²h."
"50 - 20 bằng bao nhiêu?","30."
"Ai là tác giả của 'Anna Karenina'?","Leo Tolstoy."
"Thủ đô của Colombia là gì?","Bogotá."
"Sông nào chảy qua Paris?","Sông Seine."
"Đơn vị đo công suất trong hệ SI là gì?","Watt."
"12 x 4 bằng bao nhiêu?","48."
"Ai là người sáng lập SpaceX?","Elon Musk."
"Thủ đô của Ireland là gì?","Dublin."
"Loài hoa lớn nhất thế giới là gì?","Hoa rafflesia."
"1 inch bằng bao nhiêu cm?","2,54 cm."
"Ai là tác giả của 'Tâm hồn cao cả'?","Edmondo De Amicis."
"Thủ đô của Đan Mạch là gì?","Copenhagen."
"Ngôn ngữ lập trình PHP được dùng chủ yếu cho gì?","Phát triển web."
"15 x 3 bằng bao nhiêu?","45."
"Ai phát minh ra máy in?","Johannes Gutenberg."
"Thủ đô của Bồ Đào Nha là gì?","Lisbon."
"Loài động vật có vú nhanh nhất dưới nước là gì?","Cá heo."
"Công thức hóa học của amoniac là gì?","NH₃."
"100 chia 25 bằng bao nhiêu?","4."
"Ai là tác giả của 'Những người khốn khổ'?","Victor Hugo."
"Thủ đô của Hy Lạp là gì?","Athens."
"Sông nào dài nhất Nam Mỹ?","Sông Amazon."
"Đơn vị đo tần số trong hệ SI là gì?","Hertz."
"9 x 7 bằng bao nhiêu?","63."
"Ai là người sáng lập Instagram?","Kevin Systrom."
"Thủ đô của Áo là gì?","Vienna."
"Loài cây ăn quả phổ biến nhất thế giới là gì?","Cây táo."
"1 yard bằng bao nhiêu mét?","0,9144 mét."
"Ai là tác giả của 'Cuốn theo chiều gió'?","Margaret Mitchell."
"Thủ đô của Thổ Nhĩ Kỳ là gì?","Ankara."
"Ngôn ngữ chính thức của Israel là gì?","Tiếng Do Thái và Ả Rập."
"11 x 11 bằng bao nhiêu?","121."
"Ai phát minh ra máy chụp X-quang?","Wilhelm Röntgen."
"Thủ đô của Peru là gì?","Lima."
"Loài động vật có tuổi thọ ngắn nhất là gì?","Bọ cánh cứng."
"Công thức tính diện tích hình thang là gì?","S = (a + b) x h / 2."
"60 - 45 bằng bao nhiêu?","15."
"Ai là tác giả của 'Bắt trẻ đồng xanh'?","J.D. Salinger."
"Thủ đô của Ukraine là gì?","Kyiv."
"Sông nào chảy qua London?","Sông Thames."
"Đơn vị đo điện trở trong hệ SI là gì?","Ohm."
"16 x 5 bằng bao nhiêu?","80."
"Ai là người sáng lập Twitter?","Jack Dorsey."
"Thủ đô của New Zealand là gì?","Wellington."
"Loài động vật có vú lớn nhất trên cạn là gì?","Tê giác."
